category  ,subject                       ,num,
math      ,Calculus                      ,96,
math      ,Probability                   ,80,
math      ,Linear Algebra                ,56,
physics   ,General Physics               ,109,
chemistry ,Chemical Principle            ,46,
chemistry ,General Chemistry             ,61,
biology   ,Molecular Biology of the Cell ,113,
biology   ,General Biology               ,62,
history   ,History                       ,31,
english   ,English                       ,38,
law       ,Business Law                  ,59,
,,,751
